005-info-raw-a,006-info-highpass-a,007-info-hann-a,010-carrier-raw-a,020-carrier-highpass-a,030-carrier-hann-a,042-info-fft-real-a,043-info-fft-imag-a,045-carrier-fft-real-a,047-carrier-fft-imag-a,048-info-fft-real-sq-a,048.5-info-fft-imag-sq-a,049-carrier-fft-real-sq-a,049.5-carrier-fft-imag-sq-a,050-carrier-rfft-added-a,055-info-rfft-added-a,060-carrier-rsqrt-a,070-info-sqrt-a,080-amp-factor-roots-multiplied-a,100-carrier-fft-real-x-reduced-amp-factors-a,150-carrier-fft-imag-x-reduced-amp-factors-a,005-info-raw-b,006-info-highpass-b,007-info-hann-b,010-carrier-raw-b,020-carrier-highpass-b,030-carrier-hann-b,042-info-fft-real-b,043-info-fft-imag-b,045-carrier-fft-real-b,047-carrier-fft-imag-b,048-info-fft-real-sq-b,048.5-info-fft-imag-sq-b,049-carrier-fft-real-sq-b,049.5-carrier-fft-imag-sq-b,050-carrier-rfft-added-b,055-info-rfft-added-b,060-carrier-rsqrt-b,070-info-sqrt-b,080-amp-factor-roots-multiplied-b,090-amp-factor-roots-reduced,100-carrier-fft-real-x-reduced-amp-factors-b,150-carrier-fft-imag-x-reduced-amp-factors-b
-0.031578,-0.014073,-0.000016,-0.053537,-0.036697,-0.000042,-2.335417,-2.626978,-5.084673,0.134955,5.454174,6.901012,25.853903,0.018213,25.872116,12.355186,0.196600,3.514994,0.691049,-0.002284,0.000061,0.054871,0.058558,0.000067,0.010803,-0.000138,-0.000000,-0.556890,-3.749690,1.479079,1.584915,0.310127,14.060177,2.187676,2.511957,4.699633,14.370303,0.461284,3.790818,1.748642,0.000449,0.002487,0.002855
-0.012972,-0.010754,-0.000015,-0.063072,-0.032834,-0.000044,4.069751,1.753180,9.178741,0.142313,16.562876,3.073642,84.249298,0.020253,84.269554,19.636517,0.108934,4.431310,0.482722,0.002880,0.000045,0.066956,0.070580,0.000096,-0.001251,-0.012191,-0.000017,0.883000,1.595869,-5.785601,0.849630,0.779688,2.546799,33.473175,0.721870,34.195045,3.326487,0.171009,1.823866,0.311897,0.000314,0.006786,0.000146
-0.004559,-0.007919,-0.000013,-0.074141,-0.024478,-0.000039,-4.602232,-2.220090,-4.159291,0.204721,21.180544,4.928798,17.299700,0.041911,17.341610,26.109343,0.240135,5.109729,1.227024,-0.003317,0.000163,0.066498,0.070053,0.000112,-0.006226,-0.017156,-0.000027,-3.388459,-1.239688,10.472967,-2.135397,11.481652,1.536827,109.683044,4.559920,114.242966,13.018479,0.093559,3.608113,0.337571,0.000798,0.024067,0.001001
-0.003921,-0.007826,-0.000014,-0.085809,-0.028291,-0.000052,4.201708,-2.387196,-0.268962,-0.217519,17.654348,5.698703,0.072341,0.047315,0.119655,23.353050,2.890906,4.832499,13.970299,-0.002442,-0.001975,0.057617,0.061108,0.000113,-0.007538,-0.018455,-0.000034,3.612216,1.762643,-4.490714,1.299806,13.048106,3.106911,20.166513,1.689497,21.856010,16.155018,0.213902,4.019331,0.859742,0.009081,0.011270,0.000944
-0.004443,-0.009039,-0.000019,-0.088707,-0.039576,-0.000084,-5.122165,8.519030,0.458328,0.145471,26.236576,72.573868,0.210065,0.021162,0.231226,98.810440,2.079607,9.940343,20.672009,0.006158,0.001955,0.051331,0.054764,0.000116,-0.010986,-0.021889,-0.000046,-2.900865,3.526196,-0.177018,0.354101,8.415015,12.434055,0.031336,0.125387,0.156723,20.849072,2.526002,4.566078,11.533924,0.013437,0.000235,0.000940
-0.003146,-0.006332,-0.000015,-0.074906,-0.045245,-0.000109,2.641432,-6.396026,-0.295939,0.024015,6.977165,40.909145,0.087580,0.000577,0.088157,47.886311,3.368003,6.919993,23.306559,-0.004483,0.000364,0.047791,0.051172,0.000123,-0.006744,-0.017632,-0.000043,3.891592,-9.275678,-0.225456,-1.010592,15.144485,86.038193,0.050830,1.021296,1.072127,101.182678,0.965777,10.058960,9.714714,0.015149,0.000321,0.006449
0.003181,0.000641,0.000002,-0.058847,-0.049183,-0.000134,3.060309,2.754638,-0.159400,0.196870,9.365494,7.588030,0.025408,0.038758,0.064166,16.953524,3.947726,4.117465,16.254627,-0.001684,0.002080,0.044983,0.048316,0.000132,0.000824,-0.010054,-0.000027,-1.946126,4.839587,0.034412,0.608327,3.787405,23.421604,0.001184,0.370061,0.371245,27.209009,1.641230,5.216226,8.561026,0.010566,0.000007,0.002059
0.021353,0.005478,0.000017,-0.061683,-0.058390,-0.000178,-4.613750,-2.954052,0.360060,-0.551561,21.286694,8.726426,0.129643,0.304220,0.433863,30.013119,1.518182,5.478423,8.317241,0.001947,-0.002982,0.043213,0.046500,0.000142,-0.006592,-0.017461,-0.000053,-3.035185,0.268910,-0.030823,-0.186047,9.212347,0.072313,0.000950,0.034613,0.035563,9.284659,5.302711,3.047074,16.157751,0.005406,0.000010,0.000364
0.049361,0.005001,0.000017,-0.074612,-0.066949,-0.000228,3.152542,0.998594,-0.298370,0.243557,9.938521,0.997191,0.089025,0.059320,0.148345,10.935712,2.596356,3.306918,8.585937,-0.001665,0.001359,0.036835,0.040079,0.000136,-0.021729,-0.032578,-0.000111,5.137899,0.457021,0.592082,0.411541,26.398010,0.208868,0.350562,0.169366,0.519928,26.606878,1.386847,5.158185,7.153613,0.005581,0.001630,0.000788
0.067313,0.004253,0.000016,-0.078092,-0.067880,-0.000255,-3.582541,1.251440,1.445729,0.951447,12.834599,1.566103,2.090131,0.905251,2.995382,14.400702,0.577795,3.794826,2.192631,0.002060,0.001356,0.025391,0.028602,0.000108,-0.022736,-0.033557,-0.000126,-3.064513,-0.270941,-0.576440,-0.250010,9.391238,0.073409,0.332283,0.062505,0.394788,9.464647,1.591542,3.076467,4.896327,0.001425,0.001058,0.000199
